timesteps,reward,episode_length
2036,0.0,509
2040,0.0,510
2044,0.0,511
2048,0.0,512
4068,0.0,508
4068,1.0,506
4076,0.0,507
4080,0.0,510
6088,0.0,505
6096,0.0,505
6100,0.0,508
6104,0.0,506
8120,0.0,506
8124,0.0,509
8140,0.0,510
8144,1.0,510
10152,0.0,508
10168,0.0,506
10172,1.0,512
10184,0.0,511
12196,9.0,507
12200,13.0,512
12204,9.0,508
12216,8.0,508
14220,15.0,506
14236,17.0,508
14248,15.0,512
14256,14.0,510
16268,16.0,512
16272,17.0,509
16276,14.0,507
16292,16.0,509
18292,20.0,506
18308,24.0,509
18312,24.0,509
18332,21.0,510
20320,22.0,507
20340,21.0,507
20348,20.0,510
20372,20.0,510
22356,20.0,509
22364,19.0,506
22372,19.0,506
22400,23.0,507
24384,18.0,507
24408,24.0,511
24416,19.0,511
24428,20.0,507
26428,23.0,511
26440,21.0,508
26452,19.0,509
26476,22.0,512
28452,21.0,506
28484,22.0,511
28488,24.0,509
28512,21.0,509
30484,15.0,508
30508,21.0,505
30512,18.0,507
30532,20.0,505
32512,20.0,507
32532,22.0,506
32552,18.0,510
32556,15.0,506
34540,19.0,507
34556,19.0,506
34596,19.0,511
34604,17.0,512
36584,7.0,511
36604,9.0,512
36624,9.0,507
36628,8.0,506
38612,1.0,507
38632,2.0,507
38652,2.0,507
38664,2.0,509
40660,3.0,512
40668,2.0,509
40684,2.0,505
40696,2.0,511
42684,1.0,506
42716,2.0,512
42720,2.0,509
42740,3.0,511
44712,2.0,507
44744,5.0,507
44764,5.0,511
44772,5.0,508
46736,3.0,506
46776,1.0,508
46812,4.0,512
46816,4.0,511
48784,2.0,512
48812,2.0,509
48836,3.0,506
48840,3.0,506
50812,5.0,507
50852,3.0,510
50864,3.0,507
50864,5.0,506
52852,12.0,510
52896,12.0,511
52908,10.0,511
52912,10.0,512
54876,5.0,506
54916,4.0,505
54940,4.0,507
54952,5.0,511
56900,3.0,506
56964,4.0,512
56972,3.0,508
56988,2.0,509
58924,0.0,506
58996,2.0,506
59000,1.0,509
59024,2.0,509
60948,6.0,506
61020,6.0,506
61024,7.0,506
61060,8.0,509
62988,6.0,510
63044,4.0,505
63064,3.0,511
63092,4.0,508
65024,4.0,509
65068,4.0,506
65084,6.0,505
65132,6.0,510
67072,4.0,512
67108,2.0,510
67128,1.0,511
67172,3.0,510
69104,7.0,508
69152,6.0,511
69168,9.0,510
69204,7.0,508
71132,4.0,507
71176,7.0,506
71188,5.0,505
71228,6.0,506
73180,6.0,512
73216,10.0,510
73220,8.0,508
73248,9.0,505
75208,4.0,507
75260,5.0,510
75264,4.0,512
75280,4.0,508
77228,2.0,505
77292,5.0,508
77312,7.0,512
77316,7.0,509
79276,3.0,512
79332,6.0,505
79336,4.0,511
79360,4.0,511
81320,7.0,511
81364,6.0,507
81368,7.0,509
81392,8.0,508
83348,5.0,507
83396,5.0,507
83408,6.0,511
83432,3.0,510
85384,2.0,509
85432,3.0,509
85448,3.0,510
85452,3.0,505
87408,6.0,506
87468,5.0,509
87492,4.0,511
87492,7.0,510
89452,4.0,511
89508,6.0,510
89520,7.0,507
89532,8.0,510
91488,6.0,509
91544,4.0,509
91552,9.0,505
91564,9.0,511
93508,4.0,505
93568,4.0,506
93600,3.0,512
93612,2.0,512
95528,6.0,505
95600,5.0,508
95620,3.0,505
95648,4.0,509
97576,5.0,512
97632,0.0,508
97668,1.0,512
97688,3.0,510
99596,2.0,505
99676,1.0,511
99688,3.0,505
99732,1.0,511
