timesteps,reward,episode_length
2028,0.0,507
2028,0.0,507
2040,0.0,510
2048,0.0,512
4056,0.0,507
4072,0.0,511
4076,0.0,507
4080,0.0,510
6076,0.0,505
6096,0.0,505
6096,0.0,506
6104,0.0,506
8120,0.0,506
8120,0.0,511
8136,0.0,510
8144,0.0,510
10152,1.0,508
10160,1.0,510
10168,0.0,506
10172,0.0,509
12196,5.0,507
12200,4.0,512
12200,4.0,507
12204,5.0,511
14220,13.0,506
14224,18.0,506
14244,16.0,510
14248,13.0,512
16252,19.0,507
16268,18.0,512
16268,20.0,506
16276,21.0,507
18280,21.0,507
18292,20.0,506
18304,23.0,509
18312,22.0,509
20320,21.0,507
20328,19.0,512
20340,17.0,507
20348,19.0,511
22352,20.0,506
22356,21.0,509
22364,18.0,506
22392,22.0,511
24384,19.0,507
24392,20.0,510
24408,20.0,511
24436,22.0,511
26420,21.0,507
26428,23.0,511
26440,20.0,508
26472,21.0,509
28448,20.0,507
28452,21.0,506
28484,21.0,511
28496,20.0,506
30484,18.0,508
30492,20.0,511
30512,20.0,507
30528,20.0,508
32512,21.0,507
32540,19.0,512
32552,21.0,510
32572,17.0,511
34540,17.0,507
34580,23.0,510
34596,18.0,511
34604,20.0,508
36584,21.0,511
36608,19.0,507
36624,16.0,507
36640,21.0,509
38612,20.0,507
38636,19.0,507
38652,19.0,507
38660,20.0,505
40656,21.0,505
40660,22.0,512
40696,19.0,511
40704,20.0,511
42684,22.0,506
42688,21.0,508
42724,20.0,505
42740,17.0,511
44708,19.0,505
44712,19.0,507
44768,21.0,511
44772,19.0,508
46736,17.0,506
46736,22.0,507
46792,21.0,506
46816,19.0,511
48776,21.0,510
48784,17.0,512
48828,20.0,509
48840,20.0,506
50804,18.0,507
50812,17.0,507
50848,18.0,505
50864,20.0,506
52828,18.0,506
52852,19.0,510
52880,22.0,508
52908,17.0,511
54868,21.0,510
54876,22.0,506
54924,16.0,511
54952,19.0,511
56900,23.0,506
56904,22.0,509
56944,19.0,505
56988,22.0,509
58924,20.0,506
58936,18.0,508
58972,20.0,507
59024,22.0,509
60948,20.0,506
60964,19.0,507
61000,20.0,507
61060,24.0,509
62984,19.0,505
62988,21.0,510
63036,23.0,509
63092,22.0,508
65012,18.0,507
65024,21.0,509
65076,20.0,510
65132,20.0,510
67036,18.0,506
67072,19.0,512
67120,21.0,511
67172,21.0,510
69068,19.0,508
69104,21.0,508
69140,18.0,505
69204,18.0,508
71112,19.0,511
71132,21.0,507
71172,17.0,508
71228,19.0,506
73140,19.0,507
73180,18.0,512
73196,23.0,506
73248,21.0,505
75164,22.0,506
75208,20.0,507
75216,20.0,505
75280,23.0,508
77184,20.0,505
77228,19.0,505
77244,19.0,507
77316,20.0,509
79216,23.0,508
79276,18.0,512
79288,19.0,511
79360,18.0,511
81260,21.0,511
81312,17.0,506
81320,21.0,511
81392,20.0,508
83292,21.0,508
83348,21.0,507
83356,21.0,511
83432,19.0,510
85324,17.0,508
85376,20.0,505
85384,22.0,509
85452,20.0,505
87368,21.0,511
87408,21.0,506
87408,21.0,508
87492,21.0,510
89404,22.0,509
89452,23.0,511
89452,19.0,511
89532,19.0,510
91444,18.0,510
91476,19.0,506
91488,21.0,509
91552,17.0,505
93484,22.0,510
93504,20.0,507
93508,16.0,505
93600,20.0,512
95520,23.0,509
95528,22.0,505
95536,18.0,508
95620,21.0,505
97560,21.0,506
97564,20.0,511
97576,19.0,512
97668,18.0,512
99592,20.0,508
99596,22.0,505
99600,20.0,509
99688,19.0,505
