timesteps,reward,episode_length
2032,0.0,508
2040,0.0,510
2044,0.0,511
2048,0.0,512
4056,0.0,506
4064,0.0,506
4068,0.0,505
4068,0.0,506
6084,0.0,505
6096,0.0,510
6100,0.0,508
6108,0.0,510
8132,0.0,512
8140,0.0,508
8144,0.0,512
8148,0.0,512
10164,0.0,508
10172,0.0,508
10180,0.0,509
10196,0.0,512
12192,1.0,505
12208,2.0,511
12208,1.0,507
12244,3.0,512
14212,6.0,505
14240,6.0,508
14252,9.0,511
14292,9.0,512
16232,15.0,505
16260,12.0,505
16280,15.0,507
16340,15.0,512
18276,20.0,511
18296,16.0,509
18316,20.0,509
18380,17.0,510
20308,19.0,508
20324,18.0,507
20360,19.0,511
20408,20.0,507
22352,21.0,507
22356,21.0,512
22392,16.0,508
22432,17.0,506
24384,19.0,508
24404,23.0,512
24432,22.0,510
24472,20.0,510
26420,22.0,509
26444,22.0,510
26456,19.0,506
26516,19.0,511
28448,21.0,507
28464,18.0,505
28492,19.0,509
28544,21.0,507
30468,21.0,505
30492,19.0,507
30532,17.0,510
30564,20.0,505
32508,23.0,510
32536,19.0,511
32552,21.0,505
32596,18.0,508
34536,22.0,507
34584,20.0,512
34592,21.0,510
34640,21.0,511
36560,22.0,506
36604,21.0,505
36632,19.0,510
36684,24.0,511
38584,18.0,506
38628,19.0,506
38676,21.0,511
38724,21.0,510
40612,18.0,507
40656,19.0,507
40716,23.0,510
40752,19.0,507
42640,19.0,507
42680,17.0,506
42764,22.0,512
42780,20.0,507
44680,20.0,510
44704,20.0,506
44812,22.0,512
44816,21.0,509
46708,19.0,507
46728,20.0,506
46844,20.0,507
46844,19.0,508
48736,19.0,507
48748,19.0,505
48868,21.0,506
48884,21.0,510
50764,20.0,507
50788,20.0,510
50904,21.0,509
50908,18.0,506
52784,19.0,505
52836,18.0,512
52936,20.0,508
52952,21.0,511
54832,18.0,512
54872,18.0,509
54972,20.0,509
54988,19.0,509
56864,22.0,508
56908,22.0,509
57016,21.0,511
57020,21.0,508
58884,17.0,505
58936,18.0,507
59036,20.0,505
59064,22.0,511
60908,21.0,506
60960,21.0,506
61076,18.0,510
61100,20.0,509
62944,21.0,509
63004,16.0,511
63124,20.0,512
63136,21.0,509
64968,18.0,506
65028,19.0,506
65144,21.0,505
65156,19.0,505
67012,24.0,511
67072,24.0,511
67184,22.0,510
67204,23.0,512
69048,20.0,509
69100,20.0,507
69224,18.0,510
69232,21.0,507
71084,21.0,509
71124,19.0,506
71264,21.0,508
71272,23.0,512
73108,20.0,506
73156,20.0,508
73308,19.0,511
73316,20.0,511
75140,20.0,508
75192,18.0,509
75336,18.0,505
75352,24.0,511
77168,18.0,507
77236,20.0,511
77356,19.0,505
77392,23.0,510
79188,20.0,505
79272,22.0,509
79384,21.0,507
79428,22.0,509
81236,20.0,512
81312,21.0,510
81424,20.0,510
81452,20.0,506
83276,21.0,510
83356,21.0,511
83464,23.0,510
83500,21.0,512
85304,17.0,507
85384,18.0,507
85488,20.0,506
85540,21.0,510
87348,19.0,511
87428,18.0,511
87512,19.0,506
87584,18.0,511
89384,20.0,509
89452,21.0,506
89560,22.0,512
89624,18.0,510
91412,19.0,507
91472,19.0,505
91600,19.0,510
91648,22.0,506
93460,24.0,512
93496,20.0,506
93640,22.0,510
93684,19.0,509
95496,19.0,509
95536,21.0,510
95660,20.0,505
95728,17.0,511
97524,21.0,507
97572,20.0,509
97688,19.0,507
97748,19.0,505
99556,21.0,508
99608,18.0,509
99720,20.0,508
99780,21.0,508
