timesteps,reward,episode_length
2020,0.0,505
2032,0.0,508
2044,0.0,511
2048,1.0,512
4068,0.0,506
4068,0.0,512
4068,0.0,509
4080,1.0,508
6112,1.0,511
6112,0.0,511
6116,0.0,512
6128,0.0,512
8132,0.0,505
8148,0.0,509
8148,0.0,508
8168,0.0,510
10160,1.0,507
10172,1.0,506
10188,1.0,510
10216,0.0,512
12180,18.0,505
12208,15.0,509
12216,17.0,507
12252,20.0,509
14204,24.0,506
14232,23.0,506
14252,25.0,509
14280,25.0,507
16232,24.0,507
16256,24.0,506
16300,22.0,512
16320,19.0,510
18256,23.0,506
18276,19.0,505
18324,22.0,506
18364,22.0,511
20288,19.0,508
20308,21.0,508
20372,18.0,512
20384,18.0,505
22328,25.0,510
22348,25.0,510
22396,23.0,506
22404,18.0,505
24360,18.0,508
24392,20.0,511
24440,23.0,509
24440,19.0,511
26388,12.0,507
26428,11.0,509
26468,12.0,507
26488,12.0,512
28424,9.0,509
28464,7.0,509
28496,5.0,507
28512,8.0,506
30456,7.0,508
30496,7.0,508
30532,11.0,509
30560,7.0,512
32476,5.0,505
32540,7.0,511
32564,5.0,508
32608,4.0,512
34500,4.0,506
34584,3.0,511
34604,2.0,510
34640,3.0,508
36524,4.0,506
36632,6.0,512
36636,4.0,508
36664,5.0,506
38544,3.0,505
38664,5.0,508
38684,6.0,505
38684,4.0,512
40576,5.0,508
40692,7.0,507
40712,9.0,507
40724,7.0,510
42596,7.0,505
42732,4.0,510
42740,7.0,507
42756,6.0,508
44616,6.0,505
44756,6.0,506
44788,2.0,512
44788,4.0,508
46636,4.0,505
46780,6.0,506
46808,7.0,505
46832,4.0,511
48656,7.0,505
48812,2.0,508
48828,4.0,505
48864,5.0,508
50700,6.0,511
50844,8.0,508
50860,9.0,508
50908,6.0,511
52724,6.0,506
52872,5.0,507
52892,7.0,508
52948,5.0,510
54752,5.0,507
54912,8.0,510
54924,4.0,508
54976,7.0,507
56792,7.0,510
56944,7.0,505
56952,5.0,510
57020,8.0,511
58828,5.0,509
58980,10.0,509
58988,8.0,509
59052,7.0,508
60848,11.0,505
61004,6.0,506
61028,9.0,510
61080,9.0,507
62876,9.0,507
63052,9.0,512
63068,8.0,510
63116,10.0,509
64916,13.0,510
65080,10.0,507
65104,11.0,509
65160,10.0,511
66952,5.0,509
67112,9.0,508
67144,9.0,510
67192,8.0,508
69000,8.0,512
69144,6.0,508
69180,7.0,509
69232,12.0,510
71036,14.0,509
71180,10.0,509
71224,11.0,511
71256,10.0,506
73068,10.0,508
73204,9.0,506
73256,8.0,508
73296,10.0,510
75116,13.0,512
75240,6.0,509
75300,6.0,511
75336,14.0,510
77164,9.0,512
77284,9.0,511
77344,10.0,511
77368,10.0,508
79200,3.0,509
79308,8.0,506
79388,6.0,505
79388,8.0,511
81240,10.0,510
81336,11.0,507
81412,10.0,506
81420,7.0,508
83272,9.0,508
83380,8.0,511
83456,9.0,511
83468,7.0,512
85304,7.0,508
85420,10.0,510
85484,11.0,507
85492,9.0,506
87344,5.0,510
87448,5.0,507
87512,8.0,507
87524,5.0,508
89380,5.0,509
89476,7.0,507
89540,8.0,507
89564,9.0,510
91412,13.0,508
91504,15.0,507
91580,12.0,510
91592,11.0,507
93452,5.0,510
93552,8.0,512
93624,9.0,511
93632,9.0,510
95480,14.0,507
95592,10.0,510
95660,9.0,509
95664,7.0,508
97512,8.0,508
97624,8.0,508
97688,7.0,506
97704,6.0,511
99552,8.0,510
99652,10.0,507
99720,16.0,508
99752,12.0,512
