timesteps,reward,episode_length
2020,0.0,505
2032,0.0,508
2032,0.0,508
2036,0.0,509
4056,0.0,506
4068,0.0,512
4068,0.0,509
4068,0.0,508
6100,0.0,511
6108,0.0,510
6112,0.0,511
6116,0.0,512
8132,0.0,506
8140,0.0,510
8148,0.0,509
8148,0.0,508
10156,0.0,506
10172,0.0,506
10180,0.0,510
10188,1.0,510
12184,3.0,507
12208,3.0,509
12212,3.0,508
12216,4.0,507
14216,7.0,508
14232,6.0,506
14244,6.0,508
14252,10.0,509
16248,17.0,508
16256,13.0,506
16264,12.0,505
16300,15.0,512
18276,17.0,505
18280,19.0,508
18288,20.0,506
18324,18.0,506
20308,19.0,508
20312,22.0,506
20320,19.0,510
20372,19.0,512
22332,20.0,505
22340,19.0,505
22348,20.0,510
22396,20.0,506
24368,23.0,509
24380,17.0,510
24392,20.0,511
24440,23.0,511
26396,21.0,507
26424,21.0,511
26428,22.0,509
26468,23.0,507
28440,20.0,511
28464,22.0,509
28468,19.0,511
28496,20.0,507
30476,18.0,509
30496,22.0,508
30504,22.0,509
30532,21.0,509
32508,25.0,508
32540,23.0,511
32544,16.0,510
32564,23.0,508
34556,22.0,512
34576,17.0,508
34584,18.0,511
34604,20.0,510
36588,3.0,508
36620,5.0,511
36632,6.0,512
36636,3.0,508
38608,4.0,505
38640,4.0,505
38664,4.0,508
38684,4.0,512
40656,7.0,512
40680,9.0,510
40692,11.0,507
40724,9.0,510
42684,1.0,507
42724,4.0,511
42732,3.0,510
42756,3.0,508
44712,4.0,507
44756,5.0,506
44764,5.0,510
44788,7.0,508
46736,3.0,506
46780,6.0,506
46808,6.0,511
46832,3.0,511
48756,6.0,505
48812,3.0,508
48848,5.0,510
48864,3.0,508
50796,11.0,510
50844,9.0,508
50868,9.0,505
50908,11.0,511
52828,6.0,508
52872,4.0,507
52892,5.0,506
52948,6.0,510
54868,7.0,510
54912,5.0,510
54932,8.0,510
54976,7.0,507
56896,5.0,507
56952,5.0,510
56980,7.0,512
57020,8.0,511
58940,7.0,511
58988,3.0,509
59024,9.0,511
59052,8.0,508
60984,13.0,511
61028,11.0,510
61048,13.0,506
61080,11.0,507
63008,10.0,506
63068,9.0,510
63088,8.0,510
63116,8.0,509
65040,9.0,508
65104,4.0,509
65124,7.0,509
65160,7.0,511
67088,8.0,512
67144,5.0,510
67156,8.0,508
67192,7.0,508
69124,5.0,509
69180,8.0,509
69192,9.0,509
69232,6.0,510
71148,8.0,506
71216,10.0,506
71224,12.0,511
71256,10.0,506
73168,7.0,505
73256,7.0,508
73264,5.0,512
73296,9.0,510
75200,4.0,508
75296,7.0,508
75300,3.0,511
75336,6.0,510
77244,4.0,511
77328,5.0,508
77344,7.0,511
77368,8.0,508
79272,5.0,507
79372,6.0,511
79388,7.0,505
79388,4.0,511
81296,15.0,506
81400,8.0,507
81412,9.0,506
81420,7.0,508
83340,10.0,511
83448,15.0,512
83456,8.0,511
83468,8.0,512
85380,10.0,510
85476,5.0,507
85484,5.0,507
85492,6.0,506
87408,6.0,507
87496,8.0,505
87512,10.0,507
87524,14.0,508
89456,6.0,512
89532,5.0,509
89540,5.0,507
89564,5.0,510
91496,7.0,510
91556,5.0,506
91580,8.0,510
91592,7.0,507
93528,12.0,508
93600,13.0,511
93624,13.0,511
93632,11.0,510
95564,11.0,509
95628,12.0,507
95660,4.0,509
95664,11.0,508
97604,5.0,510
97664,10.0,509
97688,7.0,506
97704,11.0,511
99624,8.0,505
99688,8.0,506
99720,8.0,508
99752,7.0,512
