timesteps,reward,episode_length
2024,1.0,506
2032,0.0,508
2044,1.0,511
2048,0.0,512
4056,0.0,506
4068,1.0,505
4068,0.0,506
4068,0.0,511
6096,0.0,510
6100,0.0,508
6108,0.0,510
6116,0.0,512
8140,0.0,508
8144,1.0,512
8148,0.0,512
8156,1.0,510
10172,0.0,508
10180,0.0,509
10188,1.0,508
10196,0.0,512
12192,10.0,505
12208,7.0,507
12236,6.0,512
12244,8.0,512
14212,17.0,505
14252,16.0,511
14256,15.0,505
14292,18.0,512
16232,19.0,505
16280,21.0,507
16284,20.0,507
16340,19.0,512
18276,19.0,511
18312,19.0,507
18316,20.0,509
18380,17.0,510
20308,18.0,508
20336,21.0,506
20360,19.0,511
20408,17.0,507
22356,20.0,512
22372,22.0,509
22392,22.0,508
22432,21.0,506
24404,20.0,512
24412,14.0,510
24432,18.0,510
24472,22.0,510
26444,18.0,510
26444,21.0,508
26456,20.0,506
26516,18.0,511
28464,16.0,505
28480,19.0,509
28492,19.0,509
28544,20.0,507
30492,21.0,507
30504,20.0,506
30532,18.0,510
30564,20.0,505
32536,21.0,511
32540,21.0,509
32552,22.0,505
32596,20.0,508
34576,22.0,509
34584,21.0,512
34592,23.0,510
34640,23.0,511
36604,20.0,505
36612,20.0,509
36632,19.0,510
36684,22.0,511
38628,20.0,506
38644,22.0,508
38676,20.0,511
38724,22.0,510
40656,20.0,507
40688,20.0,511
40716,19.0,510
40752,21.0,507
42680,21.0,506
42720,23.0,508
42764,22.0,512
42780,19.0,507
44704,17.0,506
44756,19.0,509
44812,22.0,512
44816,19.0,509
46728,17.0,506
46804,21.0,512
46844,21.0,507
46844,22.0,508
48748,20.0,505
48828,19.0,506
48868,21.0,506
48884,21.0,510
50788,22.0,510
50872,22.0,511
50904,19.0,509
50908,17.0,506
52836,19.0,512
52912,22.0,510
52936,23.0,508
52952,22.0,511
54872,18.0,509
54952,20.0,510
54972,20.0,509
54988,19.0,509
56908,19.0,509
56972,19.0,505
57016,19.0,511
57020,19.0,508
58936,20.0,507
58996,20.0,506
59036,19.0,505
59064,19.0,511
60960,19.0,506
61044,20.0,512
61076,23.0,510
61100,20.0,509
63004,17.0,511
63080,21.0,509
63124,19.0,512
63136,24.0,509
65028,21.0,506
65104,18.0,506
65144,22.0,505
65156,17.0,505
67072,20.0,511
67132,21.0,507
67184,23.0,510
67204,18.0,512
69100,22.0,507
69156,21.0,506
69224,22.0,510
69232,19.0,507
71124,21.0,506
71200,19.0,511
71264,20.0,508
71272,18.0,512
73156,24.0,508
73244,19.0,511
73308,21.0,511
73316,22.0,511
75192,20.0,509
75288,22.0,511
75336,18.0,505
75352,20.0,511
77236,21.0,511
77316,21.0,507
77356,19.0,505
77392,21.0,510
79272,22.0,509
79364,19.0,512
79384,20.0,507
79428,22.0,509
81312,21.0,510
81388,20.0,506
81424,19.0,510
81452,19.0,506
83356,23.0,511
83412,21.0,506
83464,21.0,510
83500,20.0,512
85384,22.0,507
85448,21.0,509
85488,21.0,506
85540,21.0,510
87428,19.0,511
87492,18.0,511
87512,19.0,506
87584,18.0,511
89452,20.0,506
89516,18.0,506
89560,19.0,512
89624,17.0,510
91472,20.0,505
91536,18.0,505
91600,21.0,510
91648,23.0,506
93496,24.0,506
93564,20.0,507
93640,22.0,510
93684,19.0,509
95536,21.0,510
95608,21.0,511
95660,20.0,505
95728,18.0,511
97572,22.0,509
97652,19.0,511
97688,20.0,507
97748,20.0,505
99608,20.0,509
99700,21.0,512
99720,21.0,508
99780,21.0,508
