timesteps,reward,episode_length
2020,0.0,505
2032,0.0,508
2036,1.0,509
2048,0.0,512
4068,0.0,512
4068,0.0,509
4068,0.0,508
4080,0.0,508
6108,0.0,510
6112,1.0,511
6116,0.0,512
6128,0.0,512
8132,0.0,506
8148,0.0,509
8148,1.0,508
8168,0.0,510
10156,0.0,506
10172,1.0,506
10188,0.0,510
10216,0.0,512
12184,4.0,507
12208,6.0,509
12216,3.0,507
12252,3.0,509
14216,18.0,508
14232,18.0,506
14252,21.0,509
14280,19.0,507
16248,22.0,508
16256,22.0,506
16300,20.0,512
16320,23.0,510
18276,20.0,505
18280,22.0,508
18324,22.0,506
18364,23.0,511
20308,19.0,508
20320,19.0,510
20372,17.0,512
20384,18.0,505
22340,20.0,505
22348,19.0,510
22396,21.0,506
22404,19.0,505
24380,17.0,510
24392,17.0,511
24440,21.0,509
24440,22.0,511
26424,21.0,511
26428,21.0,509
26468,21.0,507
26488,22.0,512
28464,17.0,509
28468,19.0,511
28496,19.0,507
28512,18.0,506
30496,5.0,508
30504,5.0,509
30532,6.0,509
30560,7.0,512
32540,9.0,511
32544,8.0,510
32564,6.0,508
32608,8.0,512
34576,5.0,508
34584,5.0,511
34604,3.0,510
34640,6.0,508
36620,6.0,511
36632,4.0,512
36636,7.0,508
36664,8.0,506
38640,3.0,505
38664,6.0,508
38684,3.0,505
38684,7.0,512
40680,6.0,510
40692,8.0,507
40712,7.0,507
40724,7.0,510
42724,7.0,511
42732,7.0,510
42740,7.0,507
42756,7.0,508
44756,4.0,506
44764,6.0,510
44788,5.0,512
44788,5.0,508
46780,4.0,506
46808,4.0,505
46808,5.0,511
46832,7.0,511
48812,5.0,508
48828,6.0,505
48848,4.0,510
48864,5.0,508
50844,11.0,508
50860,10.0,508
50868,7.0,505
50908,7.0,511
52872,6.0,507
52892,3.0,508
52892,5.0,506
52948,7.0,510
54912,6.0,510
54924,7.0,508
54932,6.0,510
54976,5.0,507
56944,5.0,505
56952,3.0,510
56980,5.0,512
57020,7.0,511
58980,4.0,509
58988,3.0,509
59024,1.0,511
59052,6.0,508
61004,6.0,506
61028,7.0,510
61048,8.0,506
61080,8.0,507
63052,5.0,512
63068,4.0,510
63088,8.0,510
63116,3.0,509
65080,3.0,507
65104,7.0,509
65124,7.0,509
65160,7.0,511
67112,8.0,508
67144,5.0,510
67156,10.0,508
67192,7.0,508
69144,6.0,508
69180,4.0,509
69192,5.0,509
69232,3.0,510
71180,13.0,509
71216,12.0,506
71224,13.0,511
71256,11.0,506
73204,9.0,506
73256,7.0,508
73264,11.0,512
73296,9.0,510
75240,9.0,509
75296,7.0,508
75300,6.0,511
75336,11.0,510
77284,2.0,511
77328,4.0,508
77344,5.0,511
77368,9.0,508
79308,6.0,506
79372,5.0,511
79388,3.0,505
79388,9.0,511
81336,8.0,507
81400,9.0,507
81412,9.0,506
81420,9.0,508
83380,5.0,511
83448,9.0,512
83456,7.0,511
83468,4.0,512
85420,6.0,510
85476,4.0,507
85484,5.0,507
85492,3.0,506
87448,2.0,507
87496,4.0,505
87512,7.0,507
87524,7.0,508
89476,5.0,507
89532,7.0,509
89540,8.0,507
89564,7.0,510
91504,7.0,507
91556,9.0,506
91580,7.0,510
91592,8.0,507
93552,9.0,512
93600,6.0,511
93624,12.0,511
93632,5.0,510
95592,8.0,510
95628,9.0,507
95660,3.0,509
95664,6.0,508
97624,7.0,508
97664,6.0,509
97688,7.0,506
97704,10.0,511
99652,5.0,507
99688,10.0,506
99720,7.0,508
99752,6.0,512
