timesteps,reward,episode_length
2028,0.0,507
2028,0.0,507
2044,0.0,511
2048,0.0,512
4056,0.0,507
4068,0.0,506
4072,0.0,511
4080,0.0,508
6076,0.0,505
6096,0.0,506
6112,1.0,511
6128,0.0,512
8120,0.0,511
8132,0.0,505
8136,1.0,510
8168,0.0,510
10160,0.0,510
10160,0.0,507
10172,0.0,509
10216,0.0,512
12180,7.0,505
12200,5.0,507
12204,4.0,511
12252,6.0,509
14204,15.0,506
14224,14.0,506
14244,14.0,510
14280,15.0,507
16232,17.0,507
16252,18.0,507
16268,15.0,506
16320,16.0,510
18256,19.0,506
18280,19.0,507
18304,22.0,509
18364,18.0,511
20288,18.0,508
20328,22.0,512
20348,22.0,511
20384,19.0,505
22328,17.0,510
22352,18.0,506
22392,18.0,511
22404,18.0,505
24360,22.0,508
24392,21.0,510
24436,21.0,511
24440,23.0,509
26388,20.0,507
26420,22.0,507
26472,21.0,509
26488,21.0,512
28424,19.0,509
28448,20.0,507
28496,17.0,506
28512,21.0,506
30456,18.0,508
30492,18.0,511
30528,21.0,508
30560,20.0,512
32476,21.0,505
32540,21.0,512
32572,23.0,511
32608,18.0,512
34500,20.0,506
34580,19.0,510
34604,19.0,508
34640,20.0,508
36524,15.0,506
36608,13.0,507
36640,13.0,509
36664,14.0,506
38544,7.0,505
38636,5.0,507
38660,6.0,505
38684,5.0,505
40576,12.0,508
40656,10.0,505
40704,10.0,511
40712,11.0,507
42596,5.0,505
42688,4.0,508
42724,6.0,505
42740,5.0,507
44616,3.0,505
44708,2.0,505
44768,2.0,511
44788,0.0,512
46636,1.0,505
46736,1.0,507
46792,1.0,506
46808,2.0,505
48656,3.0,505
48776,2.0,510
48828,1.0,509
48828,3.0,505
50700,8.0,511
50804,8.0,507
50848,8.0,505
50860,9.0,508
52724,4.0,506
52828,3.0,506
52880,3.0,508
52892,4.0,508
54752,1.0,507
54868,2.0,510
54924,1.0,511
54924,2.0,508
56792,2.0,510
56904,1.0,509
56944,1.0,505
56944,1.0,505
58828,0.0,509
58936,0.0,508
58972,1.0,507
58980,0.0,509
60848,3.0,505
60964,5.0,507
61000,5.0,507
61004,3.0,506
62876,3.0,507
62984,3.0,505
63036,2.0,509
63052,4.0,512
64916,3.0,510
65012,1.0,507
65076,1.0,510
65080,0.0,507
66952,5.0,509
67036,5.0,506
67112,2.0,508
67120,3.0,511
69000,2.0,512
69068,3.0,508
69140,7.0,505
69144,3.0,508
71036,8.0,509
71112,9.0,511
71172,7.0,508
71180,7.0,509
73068,5.0,508
73140,4.0,507
73196,2.0,506
73204,3.0,506
75116,3.0,512
75164,2.0,506
75216,2.0,505
75240,4.0,509
77164,4.0,512
77184,4.0,505
77244,4.0,507
77284,5.0,511
79200,4.0,509
79216,7.0,508
79288,8.0,511
79308,3.0,506
81240,5.0,510
81260,4.0,511
81312,6.0,506
81336,6.0,507
83272,4.0,508
83292,7.0,508
83356,6.0,511
83380,2.0,511
85304,3.0,508
85324,2.0,508
85376,1.0,505
85420,2.0,510
87344,2.0,510
87368,2.0,511
87408,1.0,508
87448,1.0,507
89380,2.0,509
89404,4.0,509
89452,3.0,511
89476,1.0,507
91412,10.0,508
91444,5.0,510
91476,6.0,506
91504,4.0,507
93452,2.0,510
93484,0.0,510
93504,6.0,507
93552,5.0,512
95480,9.0,507
95520,8.0,509
95536,5.0,508
95592,6.0,510
97512,10.0,508
97560,4.0,506
97564,9.0,511
97624,4.0,508
99552,5.0,510
99592,4.0,508
99600,5.0,509
99652,4.0,507
