timesteps,reward,episode_length
2020,0.0,505
2028,0.0,507
2044,0.0,511
2048,1.0,512
4068,1.0,506
4068,1.0,512
4072,1.0,511
4080,0.0,508
6096,0.0,506
6112,1.0,511
6112,0.0,511
6128,0.0,512
8132,0.0,505
8136,0.0,510
8148,0.0,509
8168,0.0,510
10160,1.0,507
10172,0.0,509
10188,1.0,510
10216,2.0,512
12180,12.0,505
12200,11.0,507
12216,12.0,507
12252,11.0,509
14204,16.0,506
14224,15.0,506
14252,15.0,509
14280,15.0,507
16232,17.0,507
16252,17.0,507
16300,19.0,512
16320,19.0,510
18256,22.0,506
18280,20.0,507
18324,21.0,506
18364,24.0,511
20288,21.0,508
20328,24.0,512
20372,21.0,512
20384,21.0,505
22328,21.0,510
22352,20.0,506
22396,21.0,506
22404,20.0,505
24360,19.0,508
24392,23.0,510
24440,22.0,509
24440,19.0,511
26388,19.0,507
26420,19.0,507
26468,19.0,507
26488,18.0,512
28424,7.0,509
28448,9.0,507
28496,8.0,507
28512,10.0,506
30456,8.0,508
30492,6.0,511
30532,9.0,509
30560,8.0,512
32476,5.0,505
32540,3.0,512
32564,4.0,508
32608,4.0,512
34500,3.0,506
34580,3.0,510
34604,3.0,510
34640,3.0,508
36524,2.0,506
36608,4.0,507
36636,1.0,508
36664,3.0,506
38544,4.0,505
38636,5.0,507
38684,5.0,505
38684,4.0,512
40576,8.0,508
40656,6.0,505
40712,6.0,507
40724,9.0,510
42596,9.0,505
42688,7.0,508
42740,12.0,507
42756,8.0,508
44616,7.0,505
44708,4.0,505
44788,4.0,512
44788,5.0,508
46636,4.0,505
46736,6.0,507
46808,4.0,505
46832,3.0,511
48656,4.0,505
48776,7.0,510
48828,6.0,505
48864,5.0,508
50700,6.0,511
50804,5.0,507
50860,8.0,508
50908,10.0,511
52724,7.0,506
52828,7.0,506
52892,7.0,508
52948,9.0,510
54752,7.0,507
54868,8.0,510
54924,11.0,508
54976,10.0,507
56792,10.0,510
56904,5.0,509
56944,9.0,505
57020,9.0,511
58828,4.0,509
58936,3.0,508
58980,4.0,509
59052,4.0,508
60848,6.0,505
60964,6.0,507
61004,5.0,506
61080,7.0,507
62876,7.0,507
62984,7.0,505
63052,5.0,512
63116,5.0,509
64916,3.0,510
65012,4.0,507
65080,6.0,507
65160,5.0,511
66952,5.0,509
67036,3.0,506
67112,4.0,508
67192,5.0,508
69000,12.0,512
69068,10.0,508
69144,7.0,508
69232,11.0,510
71036,11.0,509
71112,10.0,511
71180,8.0,509
71256,6.0,506
73068,3.0,508
73140,10.0,507
73204,6.0,506
73296,6.0,510
75116,6.0,512
75164,6.0,506
75240,4.0,509
75336,9.0,510
77164,8.0,512
77184,10.0,505
77284,11.0,511
77368,6.0,508
79200,4.0,509
79216,4.0,508
79308,4.0,506
79388,7.0,505
81240,7.0,510
81260,9.0,511
81336,8.0,507
81420,7.0,508
83272,8.0,508
83292,5.0,508
83380,4.0,511
83468,10.0,512
85304,9.0,508
85324,7.0,508
85420,12.0,510
85492,7.0,506
87344,13.0,510
87368,11.0,511
87448,5.0,507
87524,9.0,508
89380,6.0,509
89404,9.0,509
89476,8.0,507
89564,4.0,510
91412,12.0,508
91444,12.0,510
91504,12.0,507
91592,12.0,507
93452,9.0,510
93484,9.0,510
93552,13.0,512
93632,12.0,510
95480,13.0,507
95520,13.0,509
95592,14.0,510
95664,16.0,508
97512,14.0,508
97564,12.0,511
97624,9.0,508
97688,10.0,506
99552,12.0,510
99600,10.0,509
99652,9.0,507
99720,14.0,508
