timesteps,reward,episode_length
2024,0.0,506
2032,1.0,508
2044,0.0,511
2044,1.0,511
4056,0.0,506
4068,0.0,506
4068,1.0,511
4072,0.0,507
6096,1.0,510
6096,0.0,506
6108,0.0,510
6116,0.0,512
8128,0.0,508
8140,0.0,508
8144,0.0,512
8156,0.0,510
10156,1.0,507
10172,3.0,508
10180,1.0,509
10188,2.0,508
12192,16.0,505
12204,17.0,512
12208,11.0,507
12236,17.0,512
14212,18.0,505
14232,18.0,507
14252,14.0,511
14256,19.0,505
16232,21.0,505
16264,20.0,508
16280,20.0,507
16284,19.0,507
18276,14.0,511
18312,19.0,507
18312,17.0,512
18316,19.0,509
20308,21.0,508
20332,24.0,505
20336,21.0,506
20360,21.0,511
22356,22.0,512
22368,21.0,509
22372,23.0,509
22392,20.0,508
24404,19.0,512
24404,18.0,509
24412,19.0,510
24432,21.0,510
26432,13.0,507
26444,15.0,510
26444,15.0,508
26456,13.0,506
28464,7.0,505
28468,6.0,509
28480,6.0,509
28492,8.0,509
30492,8.0,507
30500,8.0,508
30504,10.0,506
30532,8.0,510
32524,2.0,506
32536,3.0,511
32540,6.0,509
32552,3.0,505
34564,6.0,510
34576,8.0,509
34584,5.0,512
34592,5.0,510
36596,6.0,508
36604,7.0,505
36612,5.0,509
36632,4.0,510
38624,2.0,507
38628,5.0,506
38644,4.0,508
38676,5.0,511
40644,3.0,505
40656,3.0,507
40688,5.0,511
40716,4.0,510
42680,5.0,506
42688,6.0,511
42720,2.0,508
42764,4.0,512
44704,5.0,506
44732,3.0,511
44756,5.0,509
44812,5.0,512
46728,6.0,506
46768,1.0,509
46804,2.0,512
46844,1.0,508
48748,5.0,505
48792,3.0,506
48828,5.0,506
48884,4.0,510
50788,6.0,510
50816,6.0,506
50872,8.0,511
50908,8.0,506
52836,3.0,512
52844,10.0,507
52912,5.0,510
52952,4.0,511
54872,9.0,509
54892,5.0,512
54952,8.0,510
54988,4.0,509
56908,6.0,509
56928,9.0,509
56972,9.0,505
57020,8.0,508
58936,10.0,507
58952,9.0,506
58996,8.0,506
59064,9.0,511
60960,9.0,506
60996,11.0,511
61044,12.0,512
61100,10.0,509
63004,5.0,511
63024,11.0,507
63080,10.0,509
63136,8.0,509
65028,9.0,506
65060,9.0,509
65104,7.0,506
65156,6.0,505
67072,9.0,511
67088,7.0,507
67132,6.0,507
67204,4.0,512
69100,8.0,507
69128,9.0,510
69156,9.0,506
69232,9.0,507
71124,9.0,506
71164,12.0,509
71200,11.0,511
71264,10.0,508
73156,10.0,508
73200,9.0,509
73244,10.0,511
73308,9.0,511
75192,12.0,509
75224,8.0,506
75288,11.0,511
75352,9.0,511
77236,8.0,511
77260,9.0,509
77316,7.0,507
77392,6.0,510
79272,10.0,509
79308,4.0,512
79364,4.0,512
79428,11.0,509
81312,12.0,510
81348,12.0,510
81388,9.0,506
81452,14.0,506
83356,9.0,511
83388,7.0,510
83412,9.0,506
83500,10.0,512
85384,9.0,507
85432,11.0,511
85448,12.0,509
85540,10.0,510
87428,9.0,511
87480,10.0,512
87492,8.0,511
87584,9.0,511
89452,7.0,506
89512,8.0,508
89516,7.0,506
89624,6.0,510
91472,14.0,505
91536,13.0,505
91552,13.0,510
91648,11.0,506
93496,8.0,506
93564,8.0,507
93592,11.0,510
93684,10.0,509
95536,6.0,510
95608,8.0,511
95624,10.0,508
95728,11.0,511
97572,10.0,509
97652,7.0,511
97656,11.0,508
97748,10.0,505
99608,18.0,509
99692,19.0,509
99700,18.0,512
99780,15.0,508
