experiment,member,policy,lr,gamma,batch_size,epsilon_start,epsilon_end,epsilon_fraction,mean_reward,std_reward
1,Kumi_Yunis,CnnPolicy,0.0001,0.99,32,1.0,0.1,0.1,0.0,0.0
2,Kumi_Yunis,CnnPolicy,0.0005,0.99,32,1.0,0.1,0.1,22.0,1.4142135381698608
3,Kumi_Yunis,CnnPolicy,0.00025,0.99,32,1.0,0.1,0.1,12.0,2.4494898319244385
4,Kumi_Yunis,CnnPolicy,0.0001,0.95,32,1.0,0.1,0.1,2.6666667461395264,0.942808985710144
5,Kumi_Yunis,CnnPolicy,0.0001,0.999,32,1.0,0.1,0.1,1.0,1.4142135381698608
6,Kumi_Yunis,CnnPolicy,0.0001,0.99,64,1.0,0.1,0.1,15.666666984558105,3.2998316287994385
7,Kumi_Yunis,CnnPolicy,0.0001,0.99,32,1.0,0.05,0.1,6.0,0.8164966106414795
8,Kumi_Yunis,CnnPolicy,0.0001,0.99,32,1.0,0.1,0.2,15.0,0.8164966106414795
9,Kumi_Yunis,CnnPolicy,0.0001,0.99,32,1.0,0.02,0.25,14.333333015441895,1.699673056602478
10,Kumi_Yunis,CnnPolicy,5e-05,0.995,64,1.0,0.05,0.15,2.0,2.8284270763397217
