timesteps,reward,episode_length
2020,0.0,505
2040,0.0,510
2044,0.0,511
2044,0.0,511
4040,0.0,505
4064,0.0,505
4072,1.0,508
4072,1.0,507
6084,0.0,511
6088,0.0,506
6096,0.0,506
6112,0.0,510
8116,0.0,507
8124,0.0,507
8128,0.0,511
8132,0.0,505
10140,0.0,506
10152,0.0,505
10156,0.0,507
10168,0.0,511
12172,0.0,508
12176,0.0,506
12192,1.0,509
12212,2.0,511
14196,3.0,505
14216,3.0,511
14216,6.0,506
14252,4.0,510
16220,6.0,506
16256,6.0,510
16260,4.0,511
16296,7.0,511
18244,10.0,506
18280,8.0,505
18284,8.0,507
18344,11.0,512
20288,16.0,511
20316,12.0,508
20324,16.0,511
20368,14.0,506
22308,20.0,505
22356,19.0,510
22356,16.0,508
22400,22.0,508
24352,22.0,511
24392,22.0,509
24400,23.0,511
24420,24.0,505
26376,20.0,506
26428,23.0,509
26448,21.0,512
26468,22.0,512
28424,20.0,512
28452,21.0,506
28472,20.0,506
28504,26.0,509
30464,20.0,510
30500,22.0,512
30512,19.0,510
30540,20.0,509
32508,22.0,511
32536,21.0,509
32540,20.0,507
32568,19.0,507
34548,23.0,510
34568,19.0,507
34580,23.0,511
34612,22.0,511
36592,21.0,511
36612,22.0,511
36628,19.0,512
36648,22.0,509
38636,26.0,511
38660,22.0,512
38668,22.0,510
38680,21.0,508
40672,19.0,509
40684,20.0,506
40696,21.0,507
40716,24.0,509
42692,18.0,505
42716,20.0,508
42720,23.0,506
42752,20.0,509
44728,21.0,509
44752,20.0,509
44760,19.0,510
44792,23.0,510
46748,21.0,505
46800,22.0,512
46808,22.0,512
46832,20.0,510
48792,23.0,511
48824,22.0,506
48852,20.0,511
48864,23.0,508
50824,14.0,508
50864,17.0,510
50892,15.0,507
50900,17.0,512
52852,7.0,507
52888,7.0,506
52928,9.0,509
52928,8.0,507
54892,7.0,510
54928,5.0,510
54968,4.0,510
54972,7.0,511
56924,3.0,508
56948,3.0,505
57008,7.0,509
57008,4.0,510
58968,5.0,511
58980,4.0,508
59044,5.0,509
59056,4.0,512
61004,5.0,506
61004,7.0,509
61080,4.0,506
61084,8.0,510
63028,5.0,506
63044,4.0,510
63128,4.0,512
63132,5.0,512
65068,1.0,510
65088,3.0,511
65156,5.0,507
65160,4.0,507
67100,6.0,508
67120,7.0,508
67176,3.0,505
67200,2.0,510
69128,4.0,507
69152,3.0,508
69212,2.0,509
69236,4.0,509
71176,10.0,512
71192,7.0,510
71232,8.0,505
71268,9.0,508
73204,7.0,507
73240,4.0,512
73260,5.0,507
73304,5.0,509
75248,4.0,511
75288,3.0,512
75288,9.0,507
75336,4.0,508
77276,10.0,507
77324,6.0,509
77332,4.0,511
77368,7.0,508
79316,3.0,510
79348,3.0,506
79376,2.0,511
79392,2.0,506
81360,8.0,511
81384,9.0,509
81400,8.0,506
81436,11.0,511
83404,9.0,511
83420,8.0,505
83432,8.0,512
83464,9.0,507
85424,10.0,505
85460,6.0,510
85460,11.0,507
85484,10.0,505
87464,5.0,510
87480,7.0,505
87492,6.0,508
87512,7.0,507
89492,10.0,507
89508,8.0,507
89528,8.0,509
89544,8.0,508
91540,10.0,508
91540,10.0,512
91576,12.0,512
91580,10.0,509
93564,6.0,506
93580,8.0,510
93596,6.0,505
93604,7.0,506
95612,9.0,512
95616,6.0,509
95624,9.0,505
95624,6.0,507
97632,4.0,505
97640,3.0,506
97656,3.0,508
97668,4.0,511
99664,3.0,506
99668,4.0,509
99692,3.0,506
99700,5.0,511
