timesteps,reward,episode_length
2036,0.0,509
2040,0.0,510
2044,0.0,511
2044,0.0,511
4064,1.0,505
4068,0.0,508
4072,0.0,507
4072,0.0,508
6088,0.0,506
6092,1.0,506
6096,0.0,506
6112,0.0,510
8116,0.0,507
8128,0.0,508
8132,1.0,505
8140,0.0,512
10140,0.0,506
10152,1.0,505
10156,0.0,507
10164,1.0,506
12172,9.0,508
12176,9.0,506
12188,10.0,506
12204,9.0,512
14196,15.0,505
14216,17.0,511
14232,20.0,507
14232,18.0,511
16220,21.0,506
16256,20.0,506
16256,24.0,510
16264,21.0,508
18244,19.0,506
18284,21.0,507
18296,20.0,510
18312,20.0,512
20288,22.0,511
20316,18.0,508
20332,20.0,505
20336,23.0,510
22308,23.0,505
22356,22.0,510
22368,23.0,509
22372,24.0,509
24352,23.0,511
24400,20.0,507
24400,22.0,511
24404,21.0,509
26376,21.0,506
26432,22.0,507
26432,22.0,508
26448,20.0,512
28424,16.0,512
28468,15.0,509
28472,18.0,510
28472,20.0,506
30464,9.0,510
30500,9.0,508
30500,9.0,507
30512,8.0,510
32508,5.0,511
32520,5.0,505
32524,5.0,506
32540,6.0,507
34548,3.0,507
34548,3.0,510
34564,5.0,510
34568,5.0,507
36572,6.0,506
36592,5.0,511
36596,6.0,508
36612,7.0,511
38612,3.0,510
38624,5.0,507
38636,5.0,511
38660,4.0,512
40644,6.0,505
40656,9.0,511
40672,6.0,509
40684,6.0,506
42688,3.0,511
42692,3.0,505
42704,4.0,512
42716,5.0,508
44728,2.0,509
44732,3.0,511
44740,5.0,509
44752,4.0,509
46748,5.0,505
46764,5.0,506
46768,7.0,509
46800,6.0,512
48792,2.0,506
48792,6.0,511
48804,3.0,510
48824,7.0,506
50816,7.0,506
50824,8.0,508
50828,6.0,506
50864,5.0,510
52844,5.0,507
52852,3.0,507
52860,3.0,508
52888,6.0,506
54892,6.0,512
54892,6.0,510
54900,6.0,510
54928,6.0,510
56924,4.0,508
56928,9.0,509
56936,7.0,509
56948,5.0,505
58952,4.0,506
58968,5.0,511
58980,4.0,508
58984,7.0,512
60996,10.0,511
61004,8.0,506
61004,9.0,509
61016,10.0,508
63024,8.0,507
63028,10.0,506
63044,9.0,510
63064,7.0,512
65060,9.0,509
65068,7.0,510
65088,9.0,511
65100,9.0,509
67088,8.0,507
67100,8.0,508
67120,8.0,508
67136,8.0,509
69128,9.0,510
69128,6.0,507
69152,8.0,508
69172,10.0,509
71164,10.0,509
71176,9.0,512
71192,10.0,510
71220,12.0,512
73200,10.0,509
73204,8.0,507
73240,7.0,512
73248,11.0,507
75224,6.0,506
75248,8.0,511
75272,7.0,506
75288,6.0,512
77260,7.0,509
77276,11.0,507
77312,12.0,510
77332,11.0,511
79308,9.0,512
79316,13.0,510
79332,10.0,505
79376,9.0,511
81348,13.0,510
81356,11.0,506
81360,11.0,511
81400,10.0,506
83380,6.0,506
83388,4.0,510
83404,4.0,511
83420,7.0,505
85400,10.0,505
85424,11.0,505
85432,9.0,511
85460,10.0,510
87440,7.0,510
87464,7.0,510
87480,7.0,512
87480,8.0,505
89460,6.0,505
89492,9.0,507
89508,7.0,507
89512,8.0,508
91480,14.0,505
91540,9.0,508
91540,7.0,512
91552,8.0,510
93516,2.0,509
93564,8.0,506
93580,4.0,510
93592,5.0,510
95564,4.0,512
95612,2.0,512
95616,3.0,509
95624,3.0,508
97612,7.0,512
97632,8.0,505
97640,7.0,506
97656,5.0,508
99648,8.0,509
99664,4.0,506
99668,7.0,509
99692,8.0,509
