timesteps,reward,episode_length
2024,0.0,506
2036,0.0,509
2044,1.0,511
2044,0.0,511
4064,0.0,505
4068,0.0,511
4068,0.0,508
4072,1.0,507
6088,0.0,506
6092,0.0,506
6096,0.0,506
6116,0.0,512
8116,0.0,507
8128,1.0,508
8140,1.0,512
8156,0.0,510
10140,0.0,506
10156,0.0,507
10164,0.0,506
10188,0.0,508
12172,5.0,508
12188,6.0,506
12204,5.0,512
12236,9.0,512
14216,14.0,511
14232,15.0,507
14232,14.0,511
14256,12.0,505
16256,21.0,506
16256,16.0,510
16264,20.0,508
16284,18.0,507
18284,22.0,507
18296,25.0,510
18312,20.0,507
18312,22.0,512
20316,22.0,508
20332,20.0,505
20336,16.0,506
20336,21.0,510
22356,18.0,510
22368,20.0,509
22372,19.0,509
22372,21.0,509
24400,8.0,507
24400,9.0,511
24404,7.0,509
24412,8.0,510
26432,3.0,507
26432,2.0,508
26444,0.0,508
26448,2.0,512
28468,1.0,509
28472,2.0,510
28472,2.0,506
28480,0.0,509
30500,6.0,508
30500,4.0,507
30504,6.0,506
30512,2.0,510
32520,4.0,505
32524,5.0,506
32540,3.0,509
32540,3.0,507
34548,0.0,507
34564,1.0,510
34568,1.0,507
34576,1.0,509
36572,3.0,506
36596,2.0,508
36612,3.0,509
36612,4.0,511
38612,2.0,510
38624,3.0,507
38644,4.0,508
38660,3.0,512
40644,6.0,505
40656,5.0,511
40684,6.0,506
40688,7.0,511
42688,5.0,511
42704,6.0,512
42716,6.0,508
42720,6.0,508
44732,8.0,511
44740,7.0,509
44752,9.0,509
44756,6.0,509
46764,6.0,506
46768,2.0,509
46800,5.0,512
46804,6.0,512
48792,5.0,506
48804,4.0,510
48824,0.0,506
48828,2.0,506
50816,4.0,506
50828,6.0,506
50864,5.0,510
50872,8.0,511
52844,8.0,507
52860,7.0,508
52888,7.0,506
52912,8.0,510
54892,8.0,512
54900,7.0,510
54928,4.0,510
54952,9.0,510
56928,7.0,509
56936,10.0,509
56948,6.0,505
56972,6.0,505
58952,8.0,506
58980,5.0,508
58984,7.0,512
58996,3.0,506
60996,8.0,511
61004,9.0,506
61016,6.0,508
61044,10.0,512
63024,6.0,507
63044,8.0,510
63064,5.0,512
63080,8.0,509
65060,4.0,509
65088,7.0,511
65100,6.0,509
65104,5.0,506
67088,4.0,507
67120,4.0,508
67132,5.0,507
67136,5.0,509
69128,2.0,510
69152,1.0,508
69156,0.0,506
69172,3.0,509
71164,5.0,509
71192,6.0,510
71200,6.0,511
71220,5.0,512
73200,1.0,509
73240,4.0,512
73244,2.0,511
73248,3.0,507
75224,2.0,506
75272,6.0,506
75288,4.0,511
75288,4.0,512
77260,2.0,509
77312,2.0,510
77316,3.0,507
77332,2.0,511
79308,4.0,512
79332,2.0,505
79364,3.0,512
79376,4.0,511
81348,7.0,510
81356,5.0,506
81388,4.0,506
81400,7.0,506
83380,6.0,506
83388,7.0,510
83412,6.0,506
83420,6.0,505
85400,4.0,505
85432,2.0,511
85448,2.0,509
85460,3.0,510
87440,3.0,510
87480,3.0,512
87480,5.0,505
87492,4.0,511
89460,2.0,505
89508,2.0,507
89512,0.0,508
89516,1.0,506
91480,12.0,505
91536,8.0,505
91540,8.0,508
91552,8.0,510
93516,14.0,509
93564,11.0,507
93564,11.0,506
93592,11.0,510
95564,8.0,512
95608,11.0,511
95612,11.0,512
95624,7.0,508
97612,7.0,512
97632,6.0,505
97652,6.0,511
97656,9.0,508
99648,14.0,509
99668,11.0,509
99692,10.0,509
99700,11.0,512
