timesteps,reward,episode_length
2028,0.0,507
2040,0.0,510
2044,0.0,511
2048,0.0,512
4056,0.0,507
4068,0.0,506
4076,0.0,507
4080,1.0,510
6076,0.0,505
6096,1.0,505
6100,0.0,508
6104,0.0,506
8120,0.0,506
8120,0.0,511
8140,0.0,510
8144,0.0,510
10152,1.0,508
10160,1.0,510
10168,0.0,506
10184,1.0,511
12196,6.0,507
12200,9.0,512
12204,7.0,511
12216,7.0,508
14220,14.0,506
14244,19.0,510
14248,14.0,512
14256,16.0,510
16268,19.0,512
16268,18.0,506
16276,17.0,507
16292,21.0,509
18292,21.0,506
18304,19.0,509
18312,17.0,509
18332,19.0,510
20320,4.0,507
20340,5.0,507
20348,6.0,511
20372,6.0,510
22356,0.0,509
22364,1.0,506
22392,1.0,511
22400,0.0,507
24384,0.0,507
24408,0.0,511
24428,0.0,507
24436,1.0,511
26428,3.0,511
26440,0.0,508
26472,1.0,509
26476,1.0,512
28452,2.0,506
28484,1.0,511
28496,0.0,506
28512,1.0,509
30484,3.0,508
30512,5.0,507
30528,3.0,508
30532,4.0,505
32512,3.0,507
32552,1.0,510
32556,4.0,506
32572,2.0,511
34540,2.0,507
34596,0.0,511
34604,1.0,512
34604,0.0,508
36584,0.0,511
36624,0.0,507
36628,0.0,506
36640,0.0,509
38612,0.0,507
38652,0.0,507
38660,0.0,505
38664,0.0,509
40660,1.0,512
40684,1.0,505
40696,2.0,511
40704,2.0,511
42684,0.0,506
42720,1.0,509
42724,1.0,505
42740,1.0,511
44712,3.0,507
44764,3.0,511
44768,5.0,511
44772,6.0,508
46736,2.0,506
46792,3.0,506
46812,3.0,512
46816,6.0,511
48784,3.0,512
48828,4.0,509
48836,4.0,506
48840,2.0,506
50812,5.0,507
50848,5.0,505
50864,5.0,507
50864,6.0,506
52852,3.0,510
52880,3.0,508
52908,3.0,511
52912,4.0,512
54876,1.0,506
54924,2.0,511
54940,3.0,507
54952,4.0,511
56900,4.0,506
56944,3.0,505
56972,6.0,508
56988,5.0,509
58924,5.0,506
58972,4.0,507
58996,4.0,506
59024,3.0,509
60948,3.0,506
61000,5.0,507
61020,8.0,506
61060,3.0,509
62988,7.0,510
63036,5.0,509
63064,8.0,511
63092,6.0,508
65024,2.0,509
65076,5.0,510
65084,2.0,505
65132,4.0,510
67072,1.0,512
67120,2.0,511
67128,7.0,511
67172,5.0,510
69104,2.0,508
69140,4.0,505
69168,3.0,510
69204,6.0,508
71132,4.0,507
71172,5.0,508
71188,5.0,505
71228,7.0,506
73180,6.0,512
73196,7.0,506
73220,10.0,508
73248,7.0,505
75208,11.0,507
75216,6.0,505
75260,10.0,510
75280,10.0,508
77228,8.0,505
77244,8.0,507
77292,7.0,508
77316,10.0,509
79276,6.0,512
79288,12.0,511
79336,8.0,511
79360,9.0,511
81312,14.0,506
81320,13.0,511
81364,13.0,507
81392,13.0,508
83348,10.0,507
83356,12.0,511
83408,10.0,511
83432,16.0,510
85376,10.0,505
85384,17.0,509
85448,13.0,510
85452,14.0,505
87408,12.0,506
87408,14.0,508
87492,11.0,511
87492,11.0,510
89452,13.0,511
89452,10.0,511
89520,14.0,507
89532,11.0,510
91476,13.0,506
91488,16.0,509
91552,14.0,505
91564,17.0,511
93504,14.0,507
93508,15.0,505
93600,16.0,512
93612,16.0,512
95528,17.0,505
95536,16.0,508
95620,17.0,505
95648,14.0,509
97560,19.0,506
97576,16.0,512
97668,15.0,512
97688,18.0,510
99592,18.0,508
99596,18.0,505
99688,13.0,505
99732,16.0,511
