timesteps,reward,episode_length
2028,0.0,507
2032,0.0,508
2032,2.0,508
2036,1.0,509
4056,0.0,506
4068,0.0,509
4068,0.0,508
4068,0.0,510
6100,0.0,511
6100,0.0,508
6108,1.0,510
6116,0.0,512
8132,0.0,506
8140,0.0,510
8144,0.0,511
8148,0.0,508
10156,0.0,506
10168,1.0,506
10172,0.0,506
10180,0.0,510
12184,10.0,507
12208,11.0,509
12208,10.0,510
12212,7.0,508
14216,16.0,508
14232,16.0,506
14244,16.0,508
14244,13.0,509
16248,20.0,508
16256,15.0,506
16264,17.0,505
16272,20.0,507
18276,20.0,505
18280,19.0,508
18288,21.0,506
18304,22.0,508
20308,21.0,508
20312,17.0,506
20320,21.0,510
20324,19.0,505
22332,20.0,505
22340,20.0,505
22348,23.0,510
22348,24.0,506
24368,20.0,509
24376,25.0,507
24380,19.0,510
24392,20.0,511
26396,22.0,507
26404,20.0,507
26424,19.0,511
26428,18.0,509
28440,22.0,511
28440,19.0,509
28464,21.0,509
28468,22.0,511
30476,18.0,509
30488,22.0,512
30496,17.0,508
30504,21.0,509
32508,20.0,508
32516,20.0,507
32540,22.0,511
32544,21.0,510
34540,23.0,506
34556,21.0,512
34576,21.0,508
34584,20.0,511
36564,20.0,506
36588,21.0,508
36620,17.0,511
36632,24.0,512
38600,22.0,509
38608,22.0,505
38640,22.0,505
38664,19.0,508
40648,24.0,512
40656,25.0,512
40680,23.0,510
40692,19.0,507
42672,21.0,506
42684,18.0,507
42724,19.0,511
42732,22.0,510
44700,20.0,507
44712,19.0,507
44756,20.0,506
44764,18.0,510
46728,21.0,507
46736,19.0,506
46780,21.0,506
46808,22.0,511
48756,21.0,505
48776,18.0,512
48812,20.0,508
48848,17.0,510
50796,23.0,510
50816,22.0,510
50844,20.0,508
50868,18.0,505
52828,18.0,508
52840,19.0,506
52872,19.0,507
52892,20.0,506
54868,20.0,510
54884,19.0,511
54912,21.0,510
54932,19.0,510
56896,19.0,507
56928,18.0,511
56952,20.0,510
56980,23.0,512
58940,20.0,511
58972,17.0,511
58988,18.0,509
59024,21.0,511
60984,21.0,511
61020,23.0,512
61028,22.0,510
61048,19.0,506
63008,21.0,506
63052,20.0,508
63068,19.0,510
63088,17.0,510
65040,20.0,508
65080,17.0,507
65104,22.0,509
65124,22.0,509
67088,20.0,512
67124,23.0,511
67144,23.0,510
67156,19.0,508
69124,23.0,509
69144,23.0,505
69180,22.0,509
69192,22.0,509
71148,20.0,506
71180,18.0,509
71216,20.0,506
71224,20.0,511
73168,20.0,505
73224,20.0,511
73256,22.0,508
73264,19.0,512
75200,20.0,508
75252,22.0,507
75296,21.0,508
75300,18.0,511
77244,20.0,511
77284,18.0,508
77328,21.0,508
77344,21.0,511
79272,18.0,507
79324,19.0,510
79372,19.0,511
79388,17.0,511
81296,21.0,506
81352,19.0,507
81400,19.0,507
81412,24.0,506
83340,24.0,511
83372,22.0,505
83448,19.0,512
83456,22.0,511
85380,23.0,510
85416,20.0,511
85476,23.0,507
85484,21.0,507
87408,19.0,507
87440,20.0,506
87496,19.0,505
87512,20.0,507
89456,19.0,512
89468,19.0,507
89532,20.0,509
89540,20.0,507
91496,22.0,510
91504,19.0,509
91556,18.0,506
91580,17.0,510
93528,21.0,508
93528,20.0,506
93600,21.0,511
93624,22.0,511
95552,19.0,506
95564,21.0,509
95628,21.0,507
95660,19.0,509
97576,25.0,506
97604,25.0,510
97664,18.0,509
97704,26.0,511
99608,19.0,508
99624,18.0,505
99688,20.0,506
99752,20.0,512
