timesteps,reward,episode_length
2020,0.0,505
2040,0.0,510
2044,0.0,511
2048,0.0,512
4040,0.0,505
4072,1.0,508
4072,0.0,507
4088,0.0,510
6084,0.0,511
6096,0.0,506
6112,1.0,510
6136,1.0,512
8124,0.0,507
8128,0.0,511
8132,0.0,505
8172,0.0,509
10152,2.0,505
10156,1.0,507
10168,0.0,511
10196,0.0,506
12176,8.0,506
12192,8.0,509
12212,11.0,511
12240,9.0,511
14196,21.0,505
14216,18.0,506
14252,21.0,510
14276,21.0,509
16220,22.0,506
16260,24.0,511
16296,21.0,511
16296,19.0,505
18244,22.0,506
18280,20.0,505
18332,21.0,509
18344,20.0,512
20288,19.0,511
20324,22.0,511
20364,18.0,508
20368,19.0,506
22308,7.0,505
22356,10.0,508
22396,7.0,508
22400,6.0,508
24352,10.0,511
24392,9.0,509
24420,6.0,505
24436,9.0,510
26376,5.0,506
26428,4.0,509
26468,7.0,512
26480,4.0,511
28424,3.0,512
28452,3.0,506
28504,6.0,509
28516,6.0,509
30464,8.0,510
30500,7.0,512
30540,7.0,509
30540,9.0,506
32508,7.0,511
32536,6.0,509
32568,6.0,507
32572,6.0,508
34548,2.0,510
34580,2.0,511
34612,2.0,511
34616,1.0,511
36592,2.0,511
36628,2.0,512
36648,3.0,509
36652,3.0,509
38636,5.0,511
38668,4.0,510
38680,5.0,508
38688,2.0,509
40672,3.0,509
40696,6.0,507
40716,4.0,509
40716,3.0,507
42692,5.0,505
42720,2.0,506
42748,4.0,508
42752,4.0,509
44728,3.0,509
44760,2.0,510
44788,5.0,510
44792,2.0,510
46748,2.0,505
46808,5.0,512
46808,7.0,505
46832,5.0,510
48792,1.0,511
48828,4.0,505
48852,2.0,511
48864,3.0,508
50824,7.0,508
50852,7.0,506
50892,6.0,507
50900,5.0,512
52852,2.0,507
52888,5.0,509
52928,4.0,509
52928,4.0,507
54892,3.0,510
54932,2.0,511
54968,6.0,510
54972,5.0,511
56924,1.0,508
56980,6.0,512
57008,1.0,509
57008,2.0,510
58968,6.0,511
59016,5.0,509
59044,3.0,509
59056,2.0,512
61004,7.0,509
61052,6.0,509
61080,5.0,506
61084,8.0,510
63028,11.0,506
63096,9.0,511
63128,8.0,512
63132,8.0,512
65068,5.0,510
65132,9.0,509
65156,7.0,507
65160,3.0,507
67100,4.0,508
67164,11.0,508
67176,5.0,505
67200,9.0,510
69128,2.0,507
69200,1.0,509
69212,5.0,509
69236,4.0,509
71176,6.0,512
71232,6.0,505
71244,6.0,511
71268,12.0,508
73204,7.0,507
73260,2.0,507
73264,4.0,505
73304,1.0,509
75248,7.0,511
75288,7.0,507
75296,9.0,508
75336,2.0,508
77276,6.0,507
77324,6.0,509
77336,6.0,510
77368,7.0,508
79316,6.0,510
79348,2.0,506
79364,7.0,507
79392,4.0,506
81360,8.0,511
81384,9.0,509
81408,10.0,511
81436,8.0,511
83404,10.0,511
83428,11.0,505
83432,6.0,512
83464,9.0,507
85424,11.0,505
85460,7.0,507
85460,1.0,508
85484,7.0,505
87464,6.0,510
87492,6.0,508
87496,6.0,509
87512,7.0,507
89492,8.0,507
89528,6.0,509
89536,8.0,510
89544,7.0,508
91540,12.0,512
91576,14.0,512
91580,13.0,509
91580,6.0,511
93580,12.0,510
93596,6.0,505
93604,6.0,506
93612,12.0,508
95616,11.0,509
95624,8.0,505
95624,12.0,507
95640,12.0,507
97640,13.0,506
97656,13.0,508
97668,15.0,511
97676,13.0,509
99664,8.0,506
99692,12.0,506
99696,13.0,505
99700,14.0,511
