timesteps,reward,episode_length
2024,1.0,506
2036,0.0,509
2044,0.0,511
2044,0.0,511
4068,0.0,506
4068,0.0,511
4068,0.0,508
4072,1.0,507
6092,0.0,506
6096,0.0,506
6108,1.0,510
6116,0.0,512
8128,0.0,508
8140,0.0,508
8140,0.0,512
8156,0.0,510
10156,0.0,507
10164,1.0,506
10172,0.0,508
10188,0.0,508
12188,7.0,506
12192,7.0,505
12204,7.0,512
12236,5.0,512
14212,16.0,505
14232,15.0,507
14232,19.0,511
14256,12.0,505
16232,22.0,505
16256,19.0,506
16264,18.0,508
16284,20.0,507
18276,19.0,511
18296,21.0,510
18312,20.0,507
18312,20.0,512
20308,20.0,508
20332,20.0,505
20336,22.0,506
20336,21.0,510
22356,22.0,512
22368,19.0,509
22372,20.0,509
22372,20.0,509
24400,16.0,507
24404,14.0,512
24404,14.0,509
24412,19.0,510
26432,9.0,507
26432,8.0,508
26444,7.0,510
26444,5.0,508
28464,3.0,505
28468,5.0,509
28472,3.0,510
28480,5.0,509
30492,8.0,507
30500,7.0,508
30500,9.0,507
30504,9.0,506
32520,4.0,505
32524,4.0,506
32536,4.0,511
32540,4.0,509
34548,2.0,507
34564,3.0,510
34576,2.0,509
34584,4.0,512
36572,3.0,506
36596,4.0,508
36604,3.0,505
36612,2.0,509
38612,4.0,510
38624,1.0,507
38628,2.0,506
38644,2.0,508
40644,6.0,505
40656,6.0,507
40656,5.0,511
40688,4.0,511
42680,5.0,506
42688,8.0,511
42704,4.0,512
42720,8.0,508
44704,3.0,506
44732,3.0,511
44740,3.0,509
44756,2.0,509
46728,6.0,506
46764,9.0,506
46768,6.0,509
46804,5.0,512
48748,3.0,505
48792,6.0,506
48804,4.0,510
48828,6.0,506
50788,6.0,510
50816,6.0,506
50828,5.0,506
50872,10.0,511
52836,8.0,512
52844,9.0,507
52860,8.0,508
52912,7.0,510
54872,2.0,509
54892,4.0,512
54900,3.0,510
54952,5.0,510
56908,5.0,509
56928,8.0,509
56936,8.0,509
56972,4.0,505
58936,5.0,507
58952,8.0,506
58984,5.0,512
58996,4.0,506
60960,9.0,506
60996,7.0,511
61016,7.0,508
61044,8.0,512
63004,9.0,511
63024,10.0,507
63064,8.0,512
63080,10.0,509
65028,4.0,506
65060,5.0,509
65100,3.0,509
65104,4.0,506
67072,6.0,511
67088,4.0,507
67132,6.0,507
67136,6.0,509
69100,3.0,507
69128,3.0,510
69156,5.0,506
69172,4.0,509
71124,6.0,506
71164,4.0,509
71200,4.0,511
71220,5.0,512
73156,2.0,508
73200,3.0,509
73244,3.0,511
73248,4.0,507
75192,5.0,509
75224,6.0,506
75272,3.0,506
75288,3.0,511
77236,4.0,511
77260,1.0,509
77312,0.0,510
77316,0.0,507
79272,5.0,509
79308,4.0,512
79332,1.0,505
79364,4.0,512
81312,7.0,510
81348,8.0,510
81356,6.0,506
81388,6.0,506
83356,0.0,511
83380,0.0,506
83388,1.0,510
83412,0.0,506
85384,6.0,507
85400,4.0,505
85432,3.0,511
85448,4.0,509
87428,2.0,511
87440,3.0,510
87480,2.0,512
87492,3.0,511
89452,2.0,506
89460,2.0,505
89512,0.0,508
89516,4.0,506
91472,7.0,505
91480,7.0,505
91536,7.0,505
91552,6.0,510
93496,6.0,506
93516,6.0,509
93564,6.0,507
93592,6.0,510
95536,5.0,510
95564,6.0,512
95608,4.0,511
95624,4.0,508
97572,8.0,509
97612,8.0,512
97652,9.0,511
97656,8.0,508
99608,3.0,509
99648,9.0,509
99692,7.0,509
99700,8.0,512
