timesteps,reward,episode_length
2032,0.0,508
2040,0.0,510
2044,0.0,511
2048,0.0,512
4056,0.0,506
4064,0.0,506
4068,0.0,505
4080,1.0,509
6084,1.0,505
6096,0.0,510
6100,0.0,508
6104,1.0,506
8132,0.0,512
8144,1.0,512
8148,0.0,512
8152,0.0,512
10164,0.0,508
10180,0.0,509
10184,0.0,508
10196,0.0,512
12208,10.0,511
12208,8.0,507
12232,10.0,512
12244,8.0,512
14240,11.0,508
14252,11.0,511
14272,10.0,510
14292,12.0,512
16260,20.0,505
16280,17.0,507
16292,21.0,505
16340,21.0,512
18296,21.0,509
18316,17.0,509
18336,21.0,511
18380,21.0,510
20324,22.0,507
20360,21.0,511
20368,20.0,508
20408,20.0,507
22352,19.0,507
22392,23.0,508
22404,21.0,509
22432,21.0,506
24384,20.0,508
24432,21.0,510
24440,20.0,509
24472,23.0,510
26420,21.0,509
26456,21.0,506
26476,20.0,509
26516,21.0,511
28448,21.0,507
28492,20.0,509
28500,21.0,506
28544,22.0,507
30468,18.0,505
30524,20.0,506
30532,19.0,510
30564,19.0,505
32508,18.0,510
32552,19.0,505
32556,19.0,508
32596,20.0,508
34536,21.0,507
34588,20.0,508
34592,18.0,510
34640,18.0,511
36560,19.0,506
36624,20.0,509
36632,21.0,510
36684,20.0,511
38584,19.0,506
38660,17.0,509
38676,19.0,511
38724,19.0,510
40612,8.0,507
40680,11.0,505
40716,9.0,510
40752,13.0,507
42640,7.0,507
42716,4.0,509
42764,5.0,512
42780,6.0,507
44680,4.0,510
44752,5.0,509
44812,5.0,512
44816,9.0,509
46708,5.0,507
46800,9.0,512
46844,5.0,507
46844,3.0,508
48736,8.0,507
48824,4.0,506
48868,7.0,506
48884,7.0,510
50764,8.0,507
50860,7.0,509
50904,4.0,509
50908,7.0,506
52784,7.0,505
52880,8.0,505
52936,7.0,508
52952,7.0,511
54832,5.0,512
54924,3.0,511
54972,2.0,509
54988,1.0,509
56864,5.0,508
56952,6.0,507
57016,7.0,511
57020,5.0,508
58884,2.0,505
58996,6.0,511
59036,2.0,505
59064,3.0,511
60908,9.0,506
61020,9.0,506
61076,10.0,510
61100,11.0,509
62944,7.0,509
63044,3.0,506
63124,6.0,512
63136,6.0,509
64968,5.0,506
65088,5.0,511
65144,4.0,505
65156,5.0,505
67012,4.0,511
67132,5.0,511
67184,4.0,510
67204,2.0,512
69048,7.0,509
69180,7.0,512
69224,9.0,510
69232,8.0,507
71084,11.0,509
71224,10.0,511
71264,13.0,508
71272,9.0,512
73108,10.0,506
73244,10.0,505
73308,4.0,511
73316,11.0,511
75140,8.0,508
75280,7.0,509
75336,8.0,505
75352,9.0,511
77168,5.0,507
77324,5.0,511
77356,8.0,505
77392,6.0,510
79188,8.0,505
79348,9.0,506
79384,10.0,507
79428,9.0,509
81236,13.0,512
81380,10.0,508
81424,11.0,510
81452,12.0,506
83276,8.0,510
83428,3.0,512
83464,6.0,510
83500,7.0,512
85304,6.0,507
85460,7.0,508
85488,10.0,506
85540,9.0,510
87348,7.0,511
87480,7.0,505
87512,9.0,506
87584,10.0,511
89384,10.0,509
89508,5.0,507
89560,6.0,512
89624,2.0,510
91412,12.0,507
91548,13.0,510
91600,7.0,510
91648,11.0,506
93460,6.0,512
93576,8.0,507
93640,8.0,510
93684,5.0,509
95496,6.0,509
95620,4.0,511
95660,3.0,505
95728,3.0,511
97524,4.0,507
97660,4.0,510
97688,9.0,507
97748,5.0,505
99556,8.0,508
99684,6.0,506
99720,7.0,508
99780,9.0,508
